gene_id	entrez_id	gene_name	gene_description	chr	mitocarta_evidence	impi_evidence	go_evidence	proteinatlas_evidence
ENSG00000117054	34	ACADM	acyl-CoA dehydrogenase medium chain	1	true	Known mitochondrial	true	true
ENSG00000122971	35	ACADS	acyl-CoA dehydrogenase short chain	12	true	Known mitochondrial	true	true
ENSG00000196177	36	ACADSB	acyl-CoA dehydrogenase short/branched chain	10	true	Known mitochondrial	true	true
ENSG00000072778	37	ACADVL	acyl-CoA dehydrogenase very long chain	17	true	Known mitochondrial	true	true
ENSG00000075239	38	ACAT1	acetyl-CoA acetyltransferase 1	11	true	Known mitochondrial	true	true
ENSG00000110455	84680	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	11	true	Predicted NOT mitochondrial	false	false
ENSG00000131473	47	ACLY	ATP citrate lyase	17	true	Known mitochondrial	false	false
ENSG00000122729	48	ACO1	aconitase 1	9	true	Predicted NOT mitochondrial	true	true
ENSG00000100412	50	ACO2	aconitase 2	22	true	Known mitochondrial	true	true
ENSG00000112304	55856	ACOT13	acyl-CoA thioesterase 13	6	true	Predicted mitochondrial	true	false
ENSG00000119673	10965	ACOT2	acyl-CoA thioesterase 2	14	true	Known mitochondrial	true	true
ENSG00000097021	11332	ACOT7	acyl-CoA thioesterase 7	1	true	Known mitochondrial	true	false
ENSG00000123130	23597	ACOT9	acyl-CoA thioesterase 9	X	true	Known mitochondrial	true	false
ENSG00000161533	51	ACOX1	acyl-CoA oxidase 1	17	true	Probable contaminant	false	false
ENSG00000087008	8310	ACOX3	acyl-CoA oxidase 3, pristanoyl	4	true	Probable contaminant	false	false
ENSG00000162836	51205	ACP6	acid phosphatase 6, lysophosphatidic	1	true	Known mitochondrial	true	false
ENSG00000167107	80221	ACSF2	acyl-CoA synthetase family member 2	17	true	Known mitochondrial	true	false
ENSG00000176715	197322	ACSF3	acyl-CoA synthetase family member 3	16	true	Known mitochondrial	true	false
ENSG00000151726	2180	ACSL1	acyl-CoA synthetase long chain family member 1	4	true	Known mitochondrial	true	true
ENSG00000068366	2182	ACSL4	acyl-CoA synthetase long chain family member 4	X	true	Known mitochondrial	true	true
ENSG00000164398	23305	ACSL6	acyl-CoA synthetase long chain family member 6	5	true	Predicted mitochondrial	true	false
ENSG00000166743	116285	ACSM1	acyl-CoA synthetase medium chain family member 1	16	true	Known mitochondrial	true	false
ENSG00000183747	123876	ACSM2A	acyl-CoA synthetase medium chain family member 2A	16	true	Known mitochondrial	true	false
ENSG00000005187	6296	ACSM3	acyl-CoA synthetase medium chain family member 3	16	true	Known mitochondrial	true	false
ENSG00000183549	54988	ACSM5	acyl-CoA synthetase medium chain family member 5	16	true	Known mitochondrial	true	false
ENSG00000154930	84532	ACSS1	acyl-CoA synthetase short chain family member 1	20	true	Known mitochondrial	true	false
ENSG00000111058	79611	ACSS3	acyl-CoA synthetase short chain family member 3	12	true	Known mitochondrial	true	true
ENSG00000170634	98	ACYP2	acylphosphatase 2	2	true	Predicted mitochondrial	false	false
ENSG00000063761	57143	ADCK1	aarF domain containing kinase 1	14	true	Predicted mitochondrial	false	false
ENSG00000133597	90956	ADCK2	aarF domain containing kinase 2	7	true	Predicted mitochondrial	false	false
ENSG00000173137	203054	ADCK5	aarF domain containing kinase 5	8	true	Predicted mitochondrial	false	false
ENSG00000147576	137872	ADHFE1	alcohol dehydrogenase, iron containing 1	8	true	Known mitochondrial	true	false
ENSG00000135537	246269	AFG1L	AFG1 like ATPase	6	true	Known mitochondrial	true	false
ENSG00000141385	10939	AFG3L2	AFG3 like matrix AAA peptidase subunit 2	18	true	Known mitochondrial	true	true
ENSG00000006530		AGK	acylglycerol kinase	7	true	Known mitochondrial	true	true
ENSG00000116771	79814	AGMAT	agmatinase	1	true	Known mitochondrial	true	false
ENSG00000155189	55326	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	8	true	Known mitochondrial	true	false
ENSG00000106541	10551	AGR2	anterior gradient 2, protein disulphide isomerase family member	7	true	Predicted NOT mitochondrial	false	false
ENSG00000172482	189	AGXT	alanine-glyoxylate aminotransferase	2	true	Predicted mitochondrial	true	false
ENSG00000113492	64902	AGXT2	alanine--glyoxylate aminotransferase 2	5	true	Known mitochondrial	true	false
ENSG00000168710	10768	AHCYL1	adenosylhomocysteinase like 1	1	true	Known NOT mitochondrial	false	false
ENSG00000156709	9131	AIFM1	apoptosis inducing factor mitochondria associated 1	X	true	Known mitochondrial	true	false
ENSG00000042286	84883	AIFM2	apoptosis inducing factor, mitochondria associated 2	10	true	Predicted NOT mitochondrial	true	false
ENSG00000183773	150209	AIFM3	apoptosis inducing factor, mitochondria associated 3	22	true	Known mitochondrial	true	true
ENSG00000004455	204	AK2	adenylate kinase 2	1	true	Known mitochondrial	true	false
ENSG00000147853	50808	AK3	adenylate kinase 3	9	true	Known mitochondrial	true	true
ENSG00000162433	205	AK4	adenylate kinase 4	1	true	Known mitochondrial	true	true
ENSG00000121057	8165	AKAP1	A-kinase anchoring protein 1	17	true	Known mitochondrial	true	true
ENSG00000108599	11216	AKAP10	A-kinase anchoring protein 10	17	true	Known mitochondrial	true	false
ENSG00000198074	57016	AKR1B10	aldo-keto reductase family 1 member B10	7	true	Predicted NOT mitochondrial	false	false
ENSG00000053371	8574	AKR7A2	aldo-keto reductase family 7 member A2	1	true	Known mitochondrial	false	false
ENSG00000124593		AL365205.1		6	true	Predicted NOT mitochondrial	false	false
ENSG00000023330	211	ALAS1	5'-aminolevulinate synthase 1	3	true	Known mitochondrial	true	true
ENSG00000158578	212	ALAS2	5'-aminolevulinate synthase 2	X	true	Known mitochondrial	true	false
ENSG00000059573	5832	ALDH18A1	aldehyde dehydrogenase 18 family member A1	10	true	Known mitochondrial	true	true
ENSG00000137124	219	ALDH1B1	aldehyde dehydrogenase 1 family member B1	9	true	Known mitochondrial	true	true
ENSG00000144908	10840	ALDH1L1	aldehyde dehydrogenase 1 family member L1	3	true	Known mitochondrial	false	false
ENSG00000136010	160428	ALDH1L2	aldehyde dehydrogenase 1 family member L2	12	true	Known mitochondrial	true	true
ENSG00000111275	217	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	12	true	Known mitochondrial	true	false
ENSG00000072210	224	ALDH3A2	aldehyde dehydrogenase 3 family member A2	17	true	Known mitochondrial	false	false
ENSG00000159423	8659	ALDH4A1	aldehyde dehydrogenase 4 family member A1	1	true	Known mitochondrial	true	false
ENSG00000112294	7915	ALDH5A1	aldehyde dehydrogenase 5 family member A1	6	true	Known mitochondrial	true	true
ENSG00000119711	4329	ALDH6A1	aldehyde dehydrogenase 6 family member A1	14	true	Known mitochondrial	true	true
ENSG00000164904	501	ALDH7A1	aldehyde dehydrogenase 7 family member A1	5	true	Known mitochondrial	true	true
ENSG00000143149	223	ALDH9A1	aldehyde dehydrogenase 9 family member A1	1	true	Known mitochondrial	false	false
ENSG00000100601	8846	ALKBH1	alkB homolog 1, histone H2A dioxygenase	14	true	Known mitochondrial	true	false
ENSG00000166199	221120	ALKBH3	alkB homolog 3, alpha-ketoglutaratedependent dioxygenase	11	true	Predicted mitochondrial	true	false
ENSG00000125652	84266	ALKBH7	alkB homolog 7	19	true	Known mitochondrial	true	false
ENSG00000242110	23600	AMACR	alpha-methylacyl-CoA racemase	5	true	Known mitochondrial	true	false
ENSG00000145020	275	AMT	aminomethyltransferase	3	true	Known mitochondrial	true	true
ENSG00000174606	90806	ANGEL2	angel homolog 2	1	true	Known mitochondrial	false	true
ENSG00000169188	27301	APEX2	apurinic/apyrimidinic endodeoxyribonuclease 2	X	true	Known mitochondrial	true	false
ENSG00000184831	79135	APOO	apolipoprotein O	X	true	Known mitochondrial	true	true
ENSG00000155008	139322	APOOL	apolipoprotein O like	X	true	Known mitochondrial	true	true
ENSG00000256053	84334	APOPT1	apoptogenic 1, mitochondrial	14	true	Known mitochondrial	true	false
ENSG00000004059	381	ARF5	ADP ribosylation factor 5	7	true	Predicted NOT mitochondrial	false	false
ENSG00000081181	384	ARG2	arginase 2	14	true	Known mitochondrial	true	true
ENSG00000213465	402	ARL2	ADP ribosylation factor like GTPase 2	11	true	Known mitochondrial	true	false
ENSG00000170632	83787	ARMC10	armadillo repeat containing 10	7	true	Known mitochondrial	true	true
ENSG00000254636	387715	ARMS2	age-related maculopathy susceptibility 2	10	true	Known mitochondrial	true	false
ENSG00000188611	56624	ASAH2	N-acylsphingosine amidohydrolase 2	10	true	Known mitochondrial	true	false
ENSG00000138138		ATAD1	ATPase family, AAA domain containing 1	10	true	Known mitochondrial	false	true
ENSG00000197785	55210	ATAD3A	ATPase family, AAA domain containing 3A	1	true	Known mitochondrial	true	true
ENSG00000160072	83858	ATAD3B	ATPase family, AAA domain containing 3B	1	true	Known mitochondrial	true	true
ENSG00000138363	471	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2	true	Predicted mitochondrial	false	false
ENSG00000145246	57205	ATP10D	ATPase phospholipid transporting 10D (putative)	4	true	Predicted NOT mitochondrial	false	false
ENSG00000166896		ATP23	ATP23 metallopeptidase and ATP synthase assembly factor homolog	12	true	Predicted NOT mitochondrial	false	false
ENSG00000152234	498	ATP5F1A	ATP synthase F1 subunit alpha	18	true	Known mitochondrial	true	true
ENSG00000110955	506	ATP5F1B	ATP synthase F1 subunit beta	12	true	Known mitochondrial	true	true
ENSG00000165629	509	ATP5F1C	ATP synthase F1 subunit gamma	10	true	Known mitochondrial	true	false
ENSG00000099624	513	ATP5F1D	ATP synthase F1 subunit delta	19	true	Known mitochondrial	true	false
ENSG00000124172	514	ATP5F1E	ATP synthase F1 subunit epsilon	20	true	Known mitochondrial	true	false
ENSG00000130770	93974	ATP5IF1	ATP synthase inhibitory factor subunit 1	1	true	Known mitochondrial	true	true
ENSG00000159199	516	ATP5MC1	ATP synthase membrane subunit c locus 1	17	true	Known mitochondrial	true	false
ENSG00000135390	517	ATP5MC2	ATP synthase membrane subunit c locus 2	12	true	Known mitochondrial	true	false
ENSG00000154518	518	ATP5MC3	ATP synthase membrane subunit c locus 3	2	true	Known mitochondrial	true	false
ENSG00000173915	84833	ATP5MD	ATP synthase membrane subunit DAPIT	10	true	Known mitochondrial	true	true
ENSG00000169020	521	ATP5ME	ATP synthase membrane subunit e	4	true	Known mitochondrial	true	true
ENSG00000241468	9551	ATP5MF	ATP synthase membrane subunit f	7	true	Known mitochondrial	true	true
ENSG00000167283	10632	ATP5MG	ATP synthase membrane subunit g	11	true	Known mitochondrial	true	true
ENSG00000156411	9556	ATP5MPL	ATP synthase membrane subunit 6.8PL	14	true	Known mitochondrial	true	true
ENSG00000116459	515	ATP5PB	ATP synthase peripheral stalk-membrane subunit b	1	true	Known mitochondrial	true	true
ENSG00000167863	10476	ATP5PD	ATP synthase peripheral stalk subunit d	17	true	Known mitochondrial	true	false
ENSG00000154723	522	ATP5PF	ATP synthase peripheral stalk subunit F6	21	true	Known mitochondrial	true	true
ENSG00000241837	539	ATP5PO	ATP synthase peripheral stalk subunit OSCP	21	true	Known mitochondrial	true	true
ENSG00000125375	27109	ATP5S	ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)	14	true	Known mitochondrial	true	true
ENSG00000123472	64756	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	1	true	Known mitochondrial	true	true
ENSG00000171953	91647	ATPAF2	ATP synthase mitochondrial F1 complex assembly factor 2	17	true	Known mitochondrial	true	false
ENSG00000204842	6311	ATXN2	ataxin 2	12	true	Known NOT mitochondrial	false	false
ENSG00000148090	549	AUH	AU RNA binding methylglutaconyl-CoA hydratase	9	true	Known mitochondrial	true	false
ENSG00000175756	54998	AURKAIP1	aurora kinase A interacting protein 1	1	true	Known mitochondrial	true	true
ENSG00000002330	572	BAD	BCL2 associated agonist of cell death	11	true	Known mitochondrial	true	true
ENSG00000030110	578	BAK1	BCL2 antagonist/killer 1	6	true	Known mitochondrial	true	false
ENSG00000087088	581	BAX	BCL2 associated X, apoptosis regulator	19	true	Known mitochondrial	true	false
ENSG00000105552	587	BCAT2	branched chain amino acid transaminase 2	19	true	Known mitochondrial	true	false
ENSG00000248098	593	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide	19	true	Known mitochondrial	true	false
ENSG00000083123	594	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	6	true	Known mitochondrial	true	false
ENSG00000103507	10295	BCKDK	branched chain ketoacid dehydrogenase kinase	16	true	Known mitochondrial	true	true
ENSG00000171791	596	BCL2	BCL2, apoptosis regulator	18	true	Known mitochondrial	true	false
ENSG00000171552	598	BCL2L1	BCL2 like 1	20	true	Known mitochondrial	true	true
ENSG00000099968	23786	BCL2L13	BCL2 like 13	22	true	Known mitochondrial	true	true
ENSG00000129473		BCL2L2	BCL2 like 2	14	true	Predicted NOT mitochondrial	true	false
ENSG00000074582	617	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone	2	true	Known mitochondrial	true	false
ENSG00000161267		BDH1	3-hydroxybutyrate dehydrogenase 1	3	true	Known mitochondrial	true	true
ENSG00000015475	637	BID	BH3 interacting domain death agonist	22	true	Predicted NOT mitochondrial	true	false
ENSG00000135441	2647	BLOC1S1	biogenesis of lysosomal organelles complex 1 subunit 1	12	true	Known mitochondrial	true	false
ENSG00000176171	664	BNIP3	BCL2 interacting protein 3	10	true	Known mitochondrial	true	false
ENSG00000104765	665	BNIP3L	BCL2 interacting protein 3 like	8	true	Known mitochondrial	true	true
ENSG00000178096	51027	BOLA1	bolA family member 1	1	true	Predicted mitochondrial	true	false
ENSG00000163170	388962	BOLA3	bolA family member 3	2	true	Known mitochondrial	true	false
ENSG00000137274	670	BPHL	biphenyl hydrolase like	6	true	Predicted mitochondrial	true	true
ENSG00000139637		C12orf10	chromosome 12 open reading frame 10	12	true	Known mitochondrial	true	false
ENSG00000130921	91574	C12orf65	chromosome 12 open reading frame 65	12	true	Known mitochondrial	true	true
ENSG00000169609	123207	C15orf40	chromosome 15 open reading frame 40	15	true	Predicted NOT mitochondrial	false	false
ENSG00000166920	84419	C15orf48	chromosome 15 open reading frame 48	15	true	Predicted NOT mitochondrial	true	false
ENSG00000189227	145853	C15orf61	chromosome 15 open reading frame 61	15	true	Known mitochondrial	false	false
ENSG00000174109	283951	C16orf91	chromosome 16 open reading frame 91	16	true	Known mitochondrial	false	false
ENSG00000174917	125988	C19orf70	chromosome 19 open reading frame 70	19	true	Known mitochondrial	true	true
ENSG00000108561	708	C1QBP	complement C1q binding protein	17	true	Known mitochondrial	true	true
ENSG00000101084	55969	C20orf24	chromosome 20 open reading frame 24	20	true	Predicted NOT mitochondrial	false	false
ENSG00000160221	8209	C21orf33	chromosome 21 open reading frame 33	21	true	Known mitochondrial	true	true
ENSG00000178074	205327	C2orf69	chromosome 2 open reading frame 69	2	true	Known mitochondrial	false	false
ENSG00000174928	285315	C3orf33	chromosome 3 open reading frame 33	3	true	Known mitochondrial	false	false
ENSG00000164241	401207	C5orf63	chromosome 5 open reading frame 63	5	true	Predicted mitochondrial	false	true
ENSG00000204564		C6orf136	chromosome 6 open reading frame 136	6	true	Predicted mitochondrial	false	false
ENSG00000130349	51250	C6orf203	chromosome 6 open reading frame 203	6	true	Predicted mitochondrial	true	false
ENSG00000213563	414919	C8orf82	chromosome 8 open reading frame 82	8	true	Known mitochondrial	false	false
ENSG00000174990	763	CA5A	carbonic anhydrase 5A	16	true	Known mitochondrial	true	false
ENSG00000169239	11238	CA5B	carbonic anhydrase 5B	X	true	Known mitochondrial	true	true
ENSG00000187796	64170	CARD9	caspase recruitment domain family member 9	9	true	Predicted NOT mitochondrial	false	false
ENSG00000134905	79587	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial	13	true	Known mitochondrial	true	true
ENSG00000064012	841	CASP8	caspase 8	2	true	Predicted NOT mitochondrial	true	false
ENSG00000121691	847	CAT	catalase	11	true	Probable contaminant	true	false
ENSG00000159231	874	CBR3	carbonyl reductase 3	21	true	Predicted NOT mitochondrial	false	false
ENSG00000145439	84869	CBR4	carbonyl reductase 4	4	true	Known mitochondrial	true	false
ENSG00000164366	133957	CCDC127	coiled-coil domain containing 127	5	true	Known mitochondrial	false	false
ENSG00000164051	79714	CCDC51	coiled-coil domain containing 51	3	true	Known mitochondrial	false	true
ENSG00000160124	131076	CCDC58	coiled-coil domain containing 58	3	true	Known mitochondrial	true	true
ENSG00000137500	60492	CCDC90B	coiled-coil domain containing 90B	11	true	Known mitochondrial	true	true
ENSG00000135624	10574	CCT7	chaperonin containing TCP1 subunit 7	2	true	Predicted mitochondrial	false	false
ENSG00000158402	995	CDC25C	cell division cycle 25C	5	true	Known mitochondrial	false	false
ENSG00000121289	84902	CEP89	centrosomal protein 89	19	true	Known mitochondrial	true	false
ENSG00000172586	118487	CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1	10	true	Known mitochondrial	true	true
ENSG00000250479		CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10	22	true	Known mitochondrial	true	true
ENSG00000106153	51142	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2	7	true	Known mitochondrial	true	true
ENSG00000106554	54927	CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3	7	true	Known mitochondrial	true	true
ENSG00000163528	131474	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4	3	true	Known mitochondrial	true	true
ENSG00000125611	84269	CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5	2	true	Known mitochondrial	true	true
ENSG00000159685	84303	CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6	3	true	Known mitochondrial	true	true
ENSG00000170791	79145	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	8	true	Predicted mitochondrial	true	false
ENSG00000016391	55349	CHDH	choline dehydrogenase	3	true	Known mitochondrial	true	false
ENSG00000111666	56994	CHPT1	choline phosphotransferase 1	12	true	Predicted NOT mitochondrial	false	false
ENSG00000122873	55847	CISD1	CDGSH iron sulfur domain 1	10	true	Known mitochondrial	true	true
ENSG00000145354	493856	CISD2	CDGSH iron sulfur domain 2	4	true	Known mitochondrial	true	false
ENSG00000277972		CISD3	CDGSH iron sulfur domain 3	17	true	Known mitochondrial	true	false
ENSG00000223572		CKMT1A	creatine kinase, mitochondrial 1A	15	true	Known mitochondrial	true	false
ENSG00000237289		CKMT1B	creatine kinase, mitochondrial 1B	15	true	Known mitochondrial	true	false
ENSG00000131730	1160	CKMT2	creatine kinase, mitochondrial 2	5	true	Known mitochondrial	true	false
ENSG00000169504	25932	CLIC4	chloride intracellular channel 4	1	true	Known mitochondrial	true	false
ENSG00000162129	81570	CLPB	ClpB homolog, mitochondrial AAA ATPase chaperonin	11	true	Known mitochondrial	true	false
ENSG00000125656	8192	CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	19	true	Known mitochondrial	true	true
ENSG00000166855	10845	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit	15	true	Known mitochondrial	true	true
ENSG00000125246	171425	CLYBL	citrate lyase beta like	13	true	Known mitochondrial	true	false
ENSG00000187118	152100	CMC1	C-X9-C motif containing 1	3	true	Known mitochondrial	true	false
ENSG00000103121	56942	CMC2	C-X9-C motif containing 2	16	true	Known mitochondrial	true	true
ENSG00000182712	100272147	CMC4	C-X9-C motif containing 4	X	true	Predicted mitochondrial	true	true
ENSG00000134326	129607	CMPK2	cytidine/uridine monophosphate kinase 2	2	true	Known mitochondrial	true	true
ENSG00000106603	55744	COA1	cytochrome c oxidase assembly factor 1 homolog	7	true	Known mitochondrial	true	true
ENSG00000183978	28958	COA3	cytochrome c oxidase assembly factor 3	17	true	Known mitochondrial	true	true
ENSG00000181924	51287	COA4	cytochrome c oxidase assembly factor 4 homolog	11	true	Known mitochondrial	true	true
ENSG00000183513	493753	COA5	cytochrome c oxidase assembly factor 5	2	true	Known mitochondrial	true	true
ENSG00000168275	388753	COA6	cytochrome c oxidase assembly factor 6	1	true	Known mitochondrial	true	true
ENSG00000162377	65260	COA7	cytochrome c oxidase assembly factor 7 (putative)	1	true	Known mitochondrial	true	true
ENSG00000068120	80347	COASY	Coenzyme A synthase	17	true	Known mitochondrial	true	false
ENSG00000093010	1312	COMT	catechol-O-methyltransferase	22	true	Predicted mitochondrial	false	false
ENSG00000165644	118881	COMTD1	catechol-O-methyltransferase domain containing 1	10	true	Known mitochondrial	false	false
ENSG00000135469	93058	COQ10A	coenzyme Q10A	12	true	Known mitochondrial	true	false
ENSG00000115520	80219	COQ10B	coenzyme Q10B	2	true	Known mitochondrial	true	false
ENSG00000173085		COQ2	coenzyme Q2, polyprenyltransferase	4	true	Known mitochondrial	true	false
ENSG00000132423	51805	COQ3	coenzyme Q3, methyltransferase	6	true	Known mitochondrial	true	true
ENSG00000167113	51117	COQ4	coenzyme Q4	9	true	Known mitochondrial	true	true
ENSG00000110871	84274	COQ5	coenzyme Q5, methyltransferase	12	true	Known mitochondrial	true	true
ENSG00000119723	51004	COQ6	coenzyme Q6, monooxygenase	14	true	Known mitochondrial	true	false
ENSG00000167186	10229	COQ7	coenzyme Q7, hydroxylase	16	true	Known mitochondrial	true	false
ENSG00000163050	56997	COQ8A	coenzyme Q8A	1	true	Known mitochondrial	true	true
ENSG00000123815	79934	COQ8B	coenzyme Q8B	19	true	Known mitochondrial	true	true
ENSG00000088682	57017	COQ9	coenzyme Q9	16	true	Known mitochondrial	true	false
ENSG00000006695	1352	COX10	COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor	17	true	Known mitochondrial	true	true
ENSG00000166260	1353	COX11	COX11, cytochrome c oxidase copper chaperone	17	true	Known mitochondrial	true	false
ENSG00000178449	84987	COX14	COX14, cytochrome c oxidase assembly factor	12	true	Known mitochondrial	true	true
ENSG00000014919	1355	COX15	COX15, cytochrome c oxidase assembly homolog	10	true	Known mitochondrial	true	true
ENSG00000133983	51241	COX16	COX16, cytochrome c oxidase assembly homolog	14	true	Known mitochondrial	true	true
ENSG00000138495	10063	COX17	COX17, cytochrome c oxidase copper chaperone	3	true	Known mitochondrial	true	true
ENSG00000163626	285521	COX18	COX18, cytochrome c oxidase assembly factor	4	true	Known mitochondrial	true	false
ENSG00000240230	90639	COX19	COX19, cytochrome c oxidase assembly factor	7	true	Known mitochondrial	true	false
ENSG00000203667	116228	COX20	COX20, cytochrome c oxidase assembly factor	1	true	Known mitochondrial	true	true
ENSG00000131143	1327	COX4I1	cytochrome c oxidase subunit 4I1	16	true	Known mitochondrial	true	true
ENSG00000131055	84701	COX4I2	cytochrome c oxidase subunit 4I2	20	true	Known mitochondrial	true	false
ENSG00000178741	9377	COX5A	cytochrome c oxidase subunit 5A	15	true	Known mitochondrial	true	false
ENSG00000135940	1329	COX5B	cytochrome c oxidase subunit 5B	2	true	Known mitochondrial	true	true
ENSG00000111775	1337	COX6A1	cytochrome c oxidase subunit 6A1	12	true	Known mitochondrial	true	true
ENSG00000156885	1339	COX6A2	cytochrome c oxidase subunit 6A2	16	true	Known mitochondrial	true	false
ENSG00000126267	1340	COX6B1	cytochrome c oxidase subunit 6B1	19	true	Known mitochondrial	true	true
ENSG00000160471	125965	COX6B2	cytochrome c oxidase subunit 6B2	19	true	Known mitochondrial	true	false
ENSG00000164919	1345	COX6C	cytochrome c oxidase subunit 6C	8	true	Known mitochondrial	true	true
ENSG00000161281	1346	COX7A1	cytochrome c oxidase subunit 7A1	19	true	Known mitochondrial	true	false
ENSG00000112695	1347	COX7A2	cytochrome c oxidase subunit 7A2	6	true	Known mitochondrial	true	false
ENSG00000115944	9167	COX7A2L	cytochrome c oxidase subunit 7A2 like	2	true	Known mitochondrial	true	true
ENSG00000131174	1349	COX7B	cytochrome c oxidase subunit 7B	X	true	Known mitochondrial	true	false
ENSG00000127184	1350	COX7C	cytochrome c oxidase subunit 7C	5	true	Known mitochondrial	true	false
ENSG00000176340	1351	COX8A	cytochrome c oxidase subunit 8A	11	true	Known mitochondrial	true	false
ENSG00000187581		COX8C	cytochrome c oxidase subunit 8C	14	true	Known mitochondrial	true	false
ENSG00000080819	1371	CPOX	coproporphyrinogen oxidase	3	true	Known mitochondrial	true	true
ENSG00000021826	1373	CPS1	carbamoyl-phosphate synthase 1	2	true	Known mitochondrial	true	false
ENSG00000110090	1374	CPT1A	carnitine palmitoyltransferase 1A	11	true	Known mitochondrial	true	true
ENSG00000205560	1375	CPT1B	carnitine palmitoyltransferase 1B	22	true	Known mitochondrial	true	false
ENSG00000169169	126129	CPT1C	carnitine palmitoyltransferase 1C	19	true	Predicted NOT mitochondrial	true	false
ENSG00000157184	1376	CPT2	carnitine palmitoyltransferase 2	1	true	Known mitochondrial	true	true
ENSG00000095321	1384	CRAT	carnitine O-acetyltransferase	9	true	Known mitochondrial	true	false
